Player	Age	MP	FG	FGA	3P	3PA	2P	2PA	eFG%	FT	FTA	TRB	AST	STL	BLK	TOV	SALARY
Andrew Nicholson	26	14.7	2.6	5.5	0.7	2	1.9	3.5	0.537	0.9	1.2	3.6	0.4	0.2	0.4	0.7	2380593
Doug McDermott	24	23	3.6	8	1.4	3.2	2.2	4.8	0.537	0.9	1	2.4	0.7	0.2	0.1	0.7	2380440
Myles Turner	19	22.8	4.4	8.8	0.1	0.2	4.4	8.6	0.501	1.5	2	5.5	0.7	0.4	1.4	1.1	2357760
Evan Fournier	23	32.5	5.4	11.8	2	4.9	3.5	6.8	0.546	2.5	3	2.8	2.7	1.2	0	1.7	2288205
Donatas Motiejunas	25	14.8	2.4	5.5	0.4	1.5	2	4	0.478	0.9	1.4	2.9	1.1	0.5	0.1	1.2	2288205
Steven Adams	22	25.2	3.3	5.3	0	0	3.3	5.3	0.613	1.4	2.5	6.7	0.8	0.5	1.1	1.1	2279040
Aaron Brooks	31	16.1	2.7	6.8	1	2.7	1.8	4.1	0.471	0.7	0.9	1.5	2.6	0.4	0.1	1.2	2250000
Trey Lyles	20	17.3	2.4	5.5	0.6	1.6	1.8	3.9	0.494	0.7	1	3.7	0.7	0.3	0.2	0.8	2239800
Ramon Sessions	29	20.3	3.4	7.2	0.4	1.4	3	5.9	0.503	2.6	3.5	2.5	2.9	0.6	0.1	1.4	2170465
Beno Udrih	33	16.1	2	4.5	0.3	1	1.6	3.5	0.472	0.4	0.5	1.6	2.6	0.3	0	1.2	2170465
Steve Blake	35	17	1.6	4.1	0.9	2.6	0.7	1.5	0.496	0.3	0.3	1.5	3.4	0.4	0.1	1.4	2170465
Danny Granger	0		0		0		0		0		0		0		0		2170465
Kelly Olynyk	24	20.2	3.7	8.1	1.2	3	2.4	5	0.531	1.4	1.9	4.1	1.5	0.8	0.5	1.1	2165160
Zach LaVine	20	28	5.3	11.7	1.5	3.9	3.8	7.8	0.516	2	2.5	2.8	3.1	0.8	0.2	1.9	2148360
Kendall Marshall	24	13.3	1.4	3.9	0.5	1.6	0.9	2.3	0.432	0.3	0.4	0.9	2.4	0.5	0.1	1.4	2144772
Jeremy Lin	27	26.3	3.8	9.3	1	2.9	2.9	6.4	0.464	3.1	3.7	3.2	3	0.7	0.5	1.9	2139000
Gary Neal	31	20.2	3.8	8.1	1	2.5	2.8	5.6	0.528	1.2	1.4	2.1	1.2	0.5	0	0.7	2139000
Devin Booker	19	27.7	4.8	11.4	1.3	3.8	3.5	7.6	0.48	2.8	3.4	2.5	2.6	0.6	0.3	2.1	2127840
Miles Plumlee	27	14.3	2.3	3.8	0	0	2.3	3.8	0.601	0.6	1	3.8	0.3	0.3	0.8	0.7	2109294
Mo Williams	33	18.2	3.2	7.4	0.9	2.5	2.3	4.9	0.497	0.9	1	1.8	2.4	0.3	0.1	1.4	2100000
David Lee	32	16.4	3.2	6.1	0	0	3.2	6.1	0.531	1.3	1.7	5.5	1.5	0.4	0.5	1.2	2085671
Shabazz Muhammad	23	20.5	3.9	8.3	0.5	1.9	3.3	6.5	0.498	2.3	3	3.3	0.6	0.3	0.1	0.9	2056920
Joe Ingles	28	15.3	1.5	3.6	1	2.6	0.5	1	0.565	0.2	0.2	1.9	1.2	0.7	0	0.8	2050000
TJ Warren	0		0		0		0		0		0		0		0		2041080
Perry Jones	0		0		0		0		0		0		0		0		2038206
